 DATE , SALES , COST_OF_SALES , QUANTITY_SOLD , DAILY_SALES_PRICE_PER_UNIT , DAILY_GROSS_PROFIT_PERCENT , DAILY_GROSS_PROFIT_PER_UNIT_PERCENT , AVG_UNIT_SALES_PRICE , PROMOTION , PRICE_ELASTICITY , PERFORMANCE_PERIOD , AVG_UNIT_PRICE , AVG_QTY_SOLD , AVG_GROSS_PROFIT_PCT , PERFORMANCE_FLAG 
"R42,339.00","R262,394.78","R285,838.56","R7,474.00",R35.11,-R8.93,-R8.93,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,671.00","R181,209.13","R178,435.72","R5,304.00",R34.16,R1.53,R1.53,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,036.00","R171,469.93","R174,652.46","R4,165.00",R41.17,-R1.86,-R1.86,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,401.00","R339,004.34","R371,177.19","R10,153.00",R33.39,-R9.49,-R9.49,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,699.00","R846,678.39","R872,081.59","R26,410.00",R32.06,-R3.00,-R3.00,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,064.00","R256,701.54","R276,569.25","R6,803.00",R37.73,-R7.74,-R7.74,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,430.00","R180,828.67","R182,962.34","R4,719.00",R38.32,-R1.18,-R1.18,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,730.00","R244,535.21","R239,700.68","R7,155.00",R34.18,R1.98,R1.98,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,095.00","R498,894.34","R542,483.84","R13,207.00",R37.77,-R8.74,-R8.74,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,461.00","R232,410.20","R245,358.63","R6,282.00",R37.00,-R5.57,-R5.57,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,760.00","R180,294.27","R175,656.65","R5,124.00",R35.19,R2.57,R2.57,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,125.00","R499,703.41","R526,206.94","R12,937.00",R38.63,-R5.30,-R5.30,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,491.00","R354,856.04","R380,511.16","R10,388.00",R34.16,-R7.23,-R7.23,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,791.00","R456,017.46","R473,223.98","R14,188.00",R32.14,-R3.77,-R3.77,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,156.00","R440,906.00","R474,967.33","R11,688.00",R37.72,-R7.73,-R7.73,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,522.00","R368,789.57","R391,923.66","R10,761.00",R34.27,-R6.27,-R6.27,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,821.00","R180,183.03","R173,842.92","R5,143.00",R35.03,R3.52,R3.52,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,186.00","R305,231.91","R324,248.84","R8,086.00",R37.75,-R6.23,-R6.23,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,552.00","R479,010.16","R517,742.19","R14,344.00",R33.39,-R8.09,-R8.09,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,852.00","R611,894.67","R636,341.32","R18,867.00",R32.43,-R4.00,-R4.00,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,217.00","R173,306.91","R178,699.98","R4,453.00",R38.92,-R3.11,-R3.11,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,583.00","R65,133.97","R55,946.06","R1,548.00",R42.08,R14.11,R14.11,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,883.00","R594,953.63","R662,850.99","R19,366.00",R30.72,-R11.41,-R11.41,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,248.00","R384,806.77","R418,101.60","R11,257.00",R34.18,-R8.65,-R8.65,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,614.00","R313,491.74","R333,030.88","R9,183.00",R34.14,-R6.23,-R6.23,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,649.00","R144,829.96","R141,334.00","R4,246.00",R34.11,R2.41,R2.41,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,014.00","R120,807.57","R123,392.80","R2,934.00",R41.18,-R2.14,-R2.14,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,379.00","R90,773.65","R84,299.29","R2,207.00",R41.13,R7.13,R7.13,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,922.00","R179,841.43","R170,757.58","R4,891.00",R36.77,R5.05,R5.05,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,287.00","R119,755.01","R116,003.69","R3,037.00",R39.43,R3.13,R3.13,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,653.00","R50,934.98","R44,983.78","R1,263.00",R40.33,R11.68,R11.68,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,953.00","R76,103.29","R73,967.61","R2,016.00",R37.75,R2.81,R2.81,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,318.00","R131,436.20","R143,823.39","R3,744.00",R35.11,-R9.42,-R9.42,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,684.00","R71,529.16","R67,551.25","R1,666.00",R42.93,R5.56,R5.56,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,983.00","R161,844.81","R169,348.52","R4,095.00",R39.52,-R4.64,-R4.64,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,348.00","R133,183.69","R137,725.88","R3,610.00",R36.89,-R3.41,-R3.41,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,680.00","R147,727.52","R154,828.68","R4,552.00",R32.45,-R4.81,-R4.81,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,045.00","R138,667.42","R148,522.85","R3,677.00",R37.71,-R7.11,-R7.11,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,410.00","R76,661.25","R66,379.56","R1,825.00",R42.01,R13.41,R13.41,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,708.00","R286,230.68","R297,642.89","R8,932.00",R32.05,-R3.99,-R3.99,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,073.00","R62,499.80","R62,073.87","R1,518.00",R41.17,R0.68,R0.68,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,439.00","R37,453.01","R35,108.20",R892.00,R41.99,R6.26,R6.26,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,739.00","R179,326.49","R183,278.50","R5,380.00",R33.33,-R2.20,-R2.20,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,104.00","R114,067.08","R113,653.97","R2,770.00",R41.18,R0.36,R0.36,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,470.00","R104,689.43","R113,609.30","R2,958.00",R35.39,-R8.52,-R8.52,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,769.00","R431,695.71","R465,253.82","R13,306.00",R32.44,-R7.77,-R7.77,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,134.00","R166,536.00","R179,243.05","R4,410.00",R37.76,-R7.63,-R7.63,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,500.00","R42,723.52","R37,112.99","R1,016.00",R42.05,R13.13,R13.13,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,800.00","R188,334.52","R195,254.78","R5,857.00",R32.16,-R3.67,-R3.67,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,165.00","R71,199.59","R68,669.39","R1,694.00",R42.03,R3.55,R3.55,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,531.00","R252,458.26","R261,502.38","R7,190.00",R35.11,-R3.58,-R3.58,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,830.00","R103,998.56","R101,270.97","R2,968.00",R35.04,R2.62,R2.62,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,195.00","R125,983.15","R127,884.59","R3,195.00",R39.43,-R1.51,-R1.51,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,561.00","R39,809.56","R34,091.57",R946.00,R42.08,R14.36,R14.36,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,861.00","R195,866.77","R203,331.43","R6,032.00",R32.47,-R3.81,-R3.81,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,226.00","R69,968.08","R72,665.73","R1,812.00",R38.61,-R3.86,-R3.86,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,592.00","R146,811.46","R155,135.63","R4,282.00",R34.29,-R5.67,-R5.67,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,892.00","R78,736.40","R77,071.54","R2,247.00",R35.04,R2.11,R2.11,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,257.00","R48,406.79","R45,316.54","R1,232.00",R39.29,R6.38,R6.38,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,623.00","R85,070.23","R76,591.85","R2,108.00",R40.36,R9.97,R9.97,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,650.00","R146,571.48","R143,179.67","R4,297.00",R34.11,R2.31,R2.31,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,015.00","R69,597.37","R71,051.36","R1,690.00",R41.18,-R2.09,-R2.09,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,380.00","R121,373.07","R112,550.43","R2,949.00",R41.16,R7.27,R7.27,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,923.00","R138,038.24","R131,192.32","R3,758.00",R36.73,R4.96,R4.96,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,288.00","R57,413.41","R55,617.58","R1,456.00",R39.43,R3.13,R3.13,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,654.00","R36,113.93","R31,885.29",R896.00,R40.31,R11.71,R11.71,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,954.00","R56,303.37","R54,996.87","R1,497.00",R37.61,R2.32,R2.32,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,319.00","R147,893.94","R161,665.60","R4,216.00",R35.08,-R9.31,-R9.31,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,685.00","R160,938.60","R152,555.42","R3,748.00",R42.94,R5.21,R5.21,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,984.00","R158,603.36","R171,692.99","R4,157.00",R38.15,-R8.25,-R8.25,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,349.00","R229,672.26","R237,672.02","R6,227.00",R36.88,-R3.48,-R3.48,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,681.00","R135,498.75","R139,824.16","R4,172.00",R32.48,-R3.19,-R3.19,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,046.00","R162,162.10","R173,661.83","R4,299.00",R37.72,-R7.09,-R7.09,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,411.00","R64,034.94","R55,491.34","R1,525.00",R41.99,R13.34,R13.34,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,709.00","R187,143.02","R191,499.04","R5,737.00",R32.62,-R2.33,-R2.33,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,074.00","R57,063.98","R56,638.28","R1,386.00",R41.17,R0.75,R0.75,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,440.00","R77,997.05","R73,051.68","R1,855.00",R42.05,R6.34,R6.34,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,740.00","R318,949.82","R326,322.53","R9,573.00",R33.32,-R2.31,-R2.31,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,105.00","R126,507.80","R126,043.77","R3,072.00",R41.18,R0.37,R0.37,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,471.00","R131,170.60","R142,022.81","R3,713.00",R35.33,-R8.27,-R8.27,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,770.00","R200,407.28","R215,907.82","R6,173.00",R32.47,-R7.73,-R7.73,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,135.00","R198,442.91","R213,676.43","R5,257.00",R37.75,-R7.68,-R7.68,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,501.00","R35,014.40","R30,393.74",R832.00,R42.08,R13.20,R13.20,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,801.00","R174,324.99","R180,978.60","R5,429.00",R32.11,-R3.82,-R3.82,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,166.00","R68,988.35","R66,539.17","R1,642.00",R42.01,R3.55,R3.55,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,532.00","R293,917.85","R311,853.52","R8,577.00",R34.27,-R6.10,-R6.10,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,831.00","R134,018.09","R130,633.26","R3,825.00",R35.04,R2.53,R2.53,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,196.00","R142,378.18","R143,924.57","R3,595.00",R39.60,-R1.09,-R1.09,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,562.00","R45,839.24","R39,231.20","R1,090.00",R42.05,R14.42,R14.42,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,862.00","R232,347.35","R241,134.53","R7,158.00",R32.46,-R3.78,-R3.78,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,227.00","R60,187.15","R62,538.49","R1,563.00",R38.51,-R3.91,-R3.91,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,593.00","R99,867.33","R103,826.70","R2,867.00",R34.83,-R3.96,-R3.96,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,893.00","R70,875.11","R69,489.36","R2,023.00",R35.03,R1.96,R1.96,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,258.00","R85,940.03","R81,559.85","R2,194.00",R39.17,R5.10,R5.10,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,624.00","R48,831.67","R44,014.23","R1,211.00",R40.32,R9.87,R9.87,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,651.00","R95,422.37","R93,126.15","R2,796.00",R34.13,R2.41,R2.41,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,016.00","R84,738.29","R86,467.54","R2,058.00",R41.18,-R2.04,-R2.04,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,381.00","R99,445.56","R92,226.52","R2,417.00",R41.14,R7.26,R7.26,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,924.00","R61,037.56","R57,992.34","R1,661.00",R36.75,R4.99,R4.99,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,289.00","R57,749.14","R55,933.01","R1,465.00",R39.42,R3.14,R3.14,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,655.00","R31,023.36","R27,817.64",R768.00,R40.39,R10.33,R10.33,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,955.00","R49,436.82","R48,289.89","R1,314.00",R37.62,R2.32,R2.32,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,320.00","R140,238.39","R153,481.45","R4,000.00",R35.06,-R9.44,-R9.44,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,686.00","R164,998.84","R156,263.15","R3,843.00",R42.93,R5.29,R5.29,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,985.00","R279,092.10","R301,236.11","R7,259.00",R38.45,-R7.93,-R7.93,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,350.00","R333,488.80","R359,621.07","R9,422.00",R35.39,-R7.84,-R7.84,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,682.00","R163,432.85","R166,893.37","R5,037.00",R32.45,-R2.12,-R2.12,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,047.00","R138,520.13","R147,756.34","R3,674.00",R37.70,-R6.67,-R6.67,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,412.00","R148,839.97","R129,583.49","R3,542.00",R42.02,R12.94,R12.94,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,710.00","R191,700.39","R197,153.42","R5,903.00",R32.48,-R2.84,-R2.84,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,075.00","R48,008.48","R47,681.67","R1,166.00",R41.17,R0.68,R0.68,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,441.00","R79,752.28","R74,962.82","R1,897.00",R42.04,R6.01,R6.01,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,741.00","R375,031.11","R383,727.19","R11,250.00",R33.34,-R2.32,-R2.32,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,106.00","R79,648.63","R79,349.40","R1,934.00",R41.18,R0.38,R0.38,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,472.00","R123,179.49","R132,714.96","R3,504.00",R35.15,-R7.74,-R7.74,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,771.00","R183,413.71","R197,835.50","R5,653.00",R32.45,-R7.86,-R7.86,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,136.00","R193,182.15","R208,039.17","R5,118.00",R37.75,-R7.69,-R7.69,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,502.00","R27,210.41","R23,570.16",R647.00,R42.06,R13.38,R13.38,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,802.00","R200,271.56","R207,757.70","R6,232.00",R32.14,-R3.74,-R3.74,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,167.00","R155,156.88","R149,423.24","R3,690.00",R42.05,R3.70,R3.70,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,533.00","R138,350.12","R143,346.67","R3,943.00",R35.09,-R3.61,-R3.61,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,832.00","R99,277.30","R96,688.50","R2,833.00",R35.04,R2.61,R2.61,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,197.00","R57,427.68","R58,723.04","R1,467.00",R39.15,-R2.26,-R2.26,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,563.00","R36,851.76","R31,574.33",R876.00,R42.07,R14.32,R14.32,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,863.00","R190,325.18","R197,438.11","R5,863.00",R32.46,-R3.74,-R3.74,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,228.00","R44,698.70","R46,849.57","R1,171.00",R38.17,-R4.81,-R4.81,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,594.00","R210,664.86","R220,379.28","R6,082.00",R34.64,-R4.61,-R4.61,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,894.00","R148,634.39","R145,956.14","R4,242.00",R35.04,R1.80,R1.80,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,259.00","R57,381.75","R54,340.89","R1,469.00",R39.06,R5.30,R5.30,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R42,625.00","R52,075.16","R46,884.14","R1,291.00",R40.34,R9.97,R9.97,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
"R41,652.00","R114,883.17","R112,186.31","R3,369.00",R34.10,R2.35,R2.35,R35.40,,, NORMAL ,R37.07,"R5,014.12",-R0.87, NORMAL PERIOD (Baseline) 
